MEDU tail-latency improvement (small flow p99)
Load	CONGA	ConWeave	FECMP	LetFlow
30	19.5%	13.1%	17.1%	22.5%
40	25.2%	16.4%	23.3%	22.2%
50	31.6%	18.2%	28.4%	29.3%
70	46.4%	23.1%	42.9%	43.3%
80	64.2%	28.8%	52.4%	53.5%
90	94.3%	39.9%	69.3%	69.8%

ALL-flow average slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	1.257	1.212	1.219	1.792	1.199	1.173	1.173	1.174
40	1.401	1.315	1.334	1.331	1.298	1.251	1.253	1.252
50	1.624	1.444	1.488	1.492	1.430	1.347	1.349	1.351
70	2.553	1.830	2.074	2.074	1.883	1.636	1.641	1.642
80	3.737	2.236	2.728	2.794	2.199	1.885	1.944	1.945
90	17.045	2.923	4.593	4.632	2.739	2.359	2.396	2.390

ALL-flow p99 slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	2.606	2.207	2.317	2.465	2.246	2.038	2.061	2.054
40	3.357	2.583	2.844	2.801	2.774	2.360	2.425	2.427
50	4.505	2.997	3.489	3.538	3.474	2.797	2.907	2.917
70	10.078	4.103	6.040	6.093	6.314	4.421	4.714	4.726
80	18.402	5.124	8.890	9.094	8.154	6.571	6.974	7.054
90	152.336	7.352	17.867	18.151	12.512	13.087	13.971	14.011
