MEDU tail-latency improvement (small flow p99)
Load	CONGA	ConWeave	FECMP	LetFlow
30	56.5%	45.6%	61.3%	60.8%
40	62.1%	49.5%	67.6%	67.3%
50	65.8%	51.7%	73.5%	72.5%
70	74.7%	60.6%	84.0%	83.2%
80	78.8%	67.7%	87.4%	88.2%
90	84.4%	78.8%	91.1%	90.7%

ALL-flow average slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	1.293	1.237	1.344	1.341	1.168	1.131	1.185	1.183
40	1.458	1.355	1.542	1.536	1.236	1.178	1.262	1.259
50	1.653	1.492	1.831	1.811	1.322	1.230	1.371	1.366
70	2.379	1.934	2.934	2.937	1.672	1.381	1.781	1.784
80	2.984	2.382	3.936	4.026	2.026	1.551	2.131	2.139
90	4.014	3.457	5.642	5.475	2.521	2.012	2.654	2.636

ALL-flow p99 slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	5.436	3.949	6.046	5.991	5.153	3.746	5.723	5.608
40	6.895	4.757	7.692	7.551	6.420	4.516	7.341	7.205
50	8.583	5.631	10.146	9.872	8.165	5.393	9.510	9.416
70	15.735	8.462	19.570	19.098	15.229	8.243	17.480	17.821
80	22.102	11.984	27.774	29.250	22.058	12.035	25.268	25.463
90	35.758	22.017	45.469	44.058	35.156	21.822	40.806	40.524
