MEDU tail-latency improvement (small flow p99)
Load	CONGA	ConWeave	FECMP	LetFlow
30	63.4%	51.8%	65.6%	65.8%
40	69.3%	57.3%	72.1%	72.3%
50	74.0%	63.0%	79.1%	79.5%
70	84.1%	76.5%	88.7%	88.2%
80	85.9%	83.1%	90.0%	90.2%
90	91.5%	87.0%	95.2%	95.3%

ALL-flow average slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	1.288	1.211	1.304	1.304	1.115	1.088	1.115	1.113
40	1.455	1.318	1.498	1.501	1.157	1.118	1.160	1.158
50	1.692	1.475	1.852	1.859	1.213	1.158	1.223	1.225
70	2.850	2.145	3.667	3.580	1.440	1.292	1.548	1.521
80	4.107	3.255	5.303	5.436	1.812	1.554	2.045	2.052
90	6.414	5.356	8.300	8.303	2.600	2.185	3.126	3.081

ALL-flow p99 slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	5.077	3.801	5.226	5.248	4.453	3.329	4.575	4.530
40	6.350	4.455	6.703	6.670	5.401	4.011	5.652	5.607
50	7.956	5.394	9.145	9.296	6.781	4.845	7.322	7.287
70	15.636	9.322	20.842	20.104	12.730	8.152	16.169	15.501
80	28.264	15.330	37.800	39.035	23.354	16.209	31.769	32.054
90	60.029	35.958	70.751	71.106	47.479	36.946	66.618	64.391
