MEDU tail-latency improvement (small flow p99)
Load	CONGA	ConWeave	FECMP	LetFlow
30	72.4%	58.5%	69.8%	70.0%
40	78.0%	64.8%	76.5%	76.6%
50	83.5%	69.6%	81.1%	80.9%
70	89.4%	80.3%	87.7%	88.1%
80	91.2%	84.2%	91.5%	91.2%
90	97.4%	93.0%	97.4%	97.4%

ALL-flow average slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	1.560	1.304	1.488	1.490	1.311	1.164	1.282	1.284
40	1.914	1.484	1.827	1.825	1.479	1.244	1.433	1.435
50	2.486	1.738	2.324	2.315	1.694	1.349	1.639	1.631
70	5.368	2.954	4.653	4.727	3.066	1.877	2.760	2.782
80	8.704	4.807	8.217	8.157	5.743	2.946	4.972	4.904
90	23.061	10.593	20.816	19.971	13.061	7.253	13.940	12.110

ALL-flow p99 slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	10.099	4.340	9.614	9.649	9.900	3.101	9.539	9.612
40	11.705	7.873	11.247	11.221	11.575	7.646	11.108	11.174
50	14.436	9.559	13.489	13.430	13.753	9.464	13.290	13.199
70	36.852	15.549	27.504	28.057	32.101	15.734	27.179	27.565
80	76.947	27.160	60.457	59.488	70.215	28.298	55.410	54.165
90	209.482	76.969	154.566	144.536	150.779	76.982	150.910	120.797
