MEDU tail-latency improvement (small flow p99)
Load	CONGA	ConWeave	FECMP	LetFlow
30	38.2%	36.3%	54.0%	50.6%
40	45.1%	36.7%	54.9%	55.6%
50	51.1%	42.1%	59.1%	60.3%
70	61.1%	43.1%	65.3%	65.4%
80	64.8%	48.9%	69.0%	68.6%
90	69.0%	54.5%	72.0%	71.7%

ALL-flow average slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	2.030	1.797	2.265	2.249	1.982	1.704	2.171	2.134
40	2.389	2.049	2.667	2.657	2.296	1.917	2.517	2.539
50	2.839	2.322	3.249	3.268	2.707	2.150	3.037	3.027
70	4.732	3.132	5.060	5.101	4.339	2.828	4.685	4.675
80	6.416	3.954	6.714	6.790	6.141	3.576	6.218	6.235
90	8.593	5.326	8.496	8.582	8.273	4.817	7.883	7.974

ALL-flow p99 slowdown
Load	CONGA-NoMEDU	ConWeave-NoMEDU	FECMP-NoMEDU	LetFlow-NoMEDU	CONGA-WithMEDU	ConWeave-WithMEDU	FECMP-WithMEDU	LetFlow-WithMEDU
30	7.739	6.318	9.227	8.714	8.144	6.304	9.163	8.824
40	9.455	7.091	11.020	10.907	9.459	7.143	11.225	11.197
50	11.801	8.065	15.464	15.309	11.916	8.000	15.090	15.670
70	35.017	10.960	34.665	35.665	33.705	10.791	34.363	34.660
80	53.209	15.129	49.950	49.694	57.085	15.441	50.072	49.882
90	77.720	27.639	65.044	66.073	84.259	27.970	64.484	65.303
