timestamp_s,avg_tx_mbps,total_tx_mbps,avg_rx_mbps,total_rx_mbps
2.000003,16896.0,33792.0,32384.0,64768.0
2.000006,26704.0,53408.0,52048.0,104096.0
2.000009,26784.0,53568.0,52128.0,104256.0
2.000012,25376.0,50752.0,50720.0,101440.0
2.000015,26704.0,53408.0,52048.0,104096.0
2.000018,26784.0,53568.0,52128.0,104256.0
2.000021,26784.0,53568.0,52128.0,104256.0
2.000024,26784.0,53568.0,50720.0,101440.0
2.000027,26784.0,53568.0,52128.0,104256.0
2.00003,26784.0,53568.0,52128.0,104256.0
2.000033,25376.0,50752.0,50720.0,101440.0
2.000036,26704.0,53408.0,52048.0,104096.0
2.000039,26784.0,53568.0,52128.0,104256.0
2.000042,26784.0,53568.0,52128.0,104256.0
2.000045,26784.0,53568.0,50720.0,101440.0
2.000048,26784.0,53568.0,52128.0,104256.0
2.000051,26784.0,53568.0,52128.0,104256.0
2.000054,25376.0,50752.0,50720.0,101440.0
2.000057,26704.0,53408.0,52048.0,104096.0
2.00006,26784.0,53568.0,52128.0,104256.0
2.000063,26784.0,53568.0,52128.0,104256.0
2.000066,26784.0,53568.0,50720.0,101440.0
2.000069,26784.0,53568.0,52128.0,104256.0
2.000072,26784.0,53568.0,52128.0,104256.0
2.000075,25376.0,50752.0,50720.0,101440.0
2.000078,26704.0,53408.0,52048.0,104096.0
2.000081,26784.0,53568.0,52128.0,104256.0
2.000084,26784.0,53568.0,52128.0,104256.0
2.000087,26784.0,53568.0,50720.0,101440.0
2.00009,27472.0,54944.0,52128.0,104256.0
2.000093,27644.0,55288.0,22560.0,45120.0
2.000096,25433.335,50866.67,12704.0,25408.0
2.000099,27908.0,55816.0,50640.0,101280.0
2.000102,27185.335,54370.67,9888.0,19776.0
2.000105,26784.0,53568.0,25376.0,50752.0
2.000108,28332.0,56664.0,46496.0,92992.0
2.000111,26841.335,53682.67,1440.0,2880.0
2.000114,27013.335,54026.67,38048.0,76096.0
2.000117,26694.665,53389.33,33824.0,67648.0
2.00012,26761.335,53522.67,1360.0,2720.0
2.000123,27529.335,55058.67,50720.0,101440.0
2.000126,27586.665,55173.33,21152.0,42304.0
2.000129,26841.335,53682.67,12704.0,25408.0
2.000132,28045.335,56090.67,52128.0,104256.0
2.000135,27128.0,54256.0,8480.0,16960.0
2.000138,25376.0,50752.0,2848.0,5696.0
2.000141,26704.0,53408.0,1360.0,2720.0
2.000144,26784.0,53568.0,1440.0,2880.0
2.000147,26784.0,53568.0,1440.0,2880.0
2.00015,26784.0,53568.0,1440.0,2880.0
2.000153,26784.0,53568.0,1440.0,2880.0
2.000156,26784.0,53568.0,1440.0,2880.0
2.000159,25376.0,50752.0,1440.0,2880.0
2.000162,26704.0,53408.0,1360.0,2720.0
2.000165,26784.0,53568.0,1440.0,2880.0
2.000168,26784.0,53568.0,1440.0,2880.0
2.000171,26784.0,53568.0,1440.0,2880.0
2.000174,26784.0,53568.0,1440.0,2880.0
2.000177,26784.0,53568.0,1440.0,2880.0
2.00018,25376.0,50752.0,1440.0,2880.0
2.000183,26704.0,53408.0,1360.0,2720.0
2.000186,26784.0,53568.0,1440.0,2880.0
2.000189,26784.0,53568.0,1440.0,2880.0
2.000192,26784.0,53568.0,1440.0,2880.0
2.000195,26784.0,53568.0,1440.0,2880.0
2.000198,26784.0,53568.0,1440.0,2880.0
2.000201,25376.0,50752.0,1440.0,2880.0
2.000204,26704.0,53408.0,1360.0,2720.0
2.000207,26784.0,53568.0,1440.0,2880.0
2.00021,26784.0,53568.0,1440.0,2880.0
2.000213,26784.0,53568.0,1440.0,2880.0
2.000216,26784.0,53568.0,1440.0,2880.0
2.000219,26784.0,53568.0,1440.0,2880.0
2.000222,25376.0,50752.0,2848.0,5696.0
2.000225,9808.0,19616.0,1360.0,2720.0
2.000228,80.0,160.0,80.0,160.0
2.000306,1408.0,2816.0,1408.0,2816.0
2.000309,80.0,160.0,80.0,160.0
2.000393,1488.0,2976.0,1488.0,2976.0
2.000453,1488.0,2976.0,1488.0,2976.0
2.000498,1408.0,2816.0,1408.0,2816.0
2.000501,80.0,160.0,80.0,160.0
2.000537,1408.0,2816.0,1408.0,2816.0
2.00054,80.0,160.0,80.0,160.0
2.00057,1408.0,2816.0,1408.0,2816.0
2.000573,80.0,160.0,80.0,160.0
2.000597,1408.0,2816.0,1408.0,2816.0
2.0006,80.0,160.0,80.0,160.0
2.000618,1408.0,2816.0,1408.0,2816.0
2.000621,80.0,160.0,80.0,160.0
2.000636,1408.0,2816.0,1408.0,2816.0
2.000639,80.0,160.0,80.0,160.0
2.000651,1488.0,2976.0,1488.0,2976.0
2.000663,1488.0,2976.0,1488.0,2976.0
2.000672,1408.0,2816.0,1408.0,2816.0
2.000675,80.0,160.0,80.0,160.0
2.000681,1408.0,2816.0,1408.0,2816.0
2.000684,80.0,160.0,80.0,160.0
2.00069,1408.0,2816.0,1408.0,2816.0
2.000693,80.0,160.0,80.0,160.0
2.000699,1488.0,2976.0,1488.0,2976.0
2.000705,1408.0,2816.0,1408.0,2816.0
2.000708,80.0,160.0,80.0,160.0
2.000711,1408.0,2816.0,1408.0,2816.0
2.000714,80.0,160.0,80.0,160.0
2.000717,1408.0,2816.0,1408.0,2816.0
2.00072,80.0,160.0,80.0,160.0
2.000723,1408.0,2816.0,1408.0,2816.0
2.000726,80.0,160.0,80.0,160.0
2.000729,1408.0,2816.0,1408.0,2816.0
2.000732,80.0,160.0,80.0,160.0
2.000735,1488.0,2976.0,1488.0,2976.0
2.000738,1408.0,2816.0,1408.0,2816.0
2.000741,80.0,160.0,80.0,160.0
2.000744,1488.0,2976.0,1488.0,2976.0
2.000747,1408.0,2816.0,1408.0,2816.0
2.00075,1488.0,2976.0,1488.0,2976.0
2.000753,80.0,160.0,80.0,160.0
2.000756,1488.0,2976.0,1488.0,2976.0
2.000759,1408.0,2816.0,1408.0,2816.0
2.000762,1488.0,2976.0,1488.0,2976.0
2.000765,80.0,160.0,80.0,160.0
2.000768,1488.0,2976.0,1488.0,2976.0
2.000771,1408.0,2816.0,1408.0,2816.0
2.000774,1488.0,2976.0,1488.0,2976.0
2.000777,1488.0,2976.0,1488.0,2976.0
2.00078,1488.0,2976.0,1488.0,2976.0
2.000783,80.0,160.0,80.0,160.0
2.000786,1488.0,2976.0,1488.0,2976.0
2.000789,1488.0,2976.0,1488.0,2976.0
2.000792,1488.0,2976.0,1488.0,2976.0
2.000795,1408.0,2816.0,1408.0,2816.0
2.000798,1488.0,2976.0,1488.0,2976.0
2.000801,1488.0,2976.0,1488.0,2976.0
2.000804,1488.0,2976.0,1488.0,2976.0
2.000807,1488.0,2976.0,1488.0,2976.0
2.00081,1488.0,2976.0,1488.0,2976.0
2.000813,1488.0,2976.0,1488.0,2976.0
2.000816,1488.0,2976.0,1488.0,2976.0
2.000819,1568.0,3136.0,1568.0,3136.0
2.000822,1488.0,2976.0,1488.0,2976.0
