# Link Utilization Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,txUtilization%,rxUtilization%,linkBandwidthMbps
2000002000,1,2,1,0.00,100.61,100000
2000002000,1,2,2,100.61,0.00,50000
2000003000,1,2,1,0.34,100.61,100000
2000003000,1,2,2,100.61,0.00,50000
2000004000,1,2,1,2.40,100.61,100000
2000004000,1,2,2,100.61,4.80,50000
2000005000,1,2,1,3.22,100.61,100000
2000005000,1,2,2,100.61,5.76,50000
2000006000,1,2,1,2.88,100.61,100000
2000006000,1,2,2,100.61,5.76,50000
2000007000,1,2,1,3.22,100.61,100000
2000007000,1,2,2,100.61,5.76,50000
2000008000,1,2,1,2.88,100.61,100000
2000008000,1,2,2,100.61,5.76,50000
2000009000,1,2,1,3.22,100.61,100000
2000009000,1,2,2,100.61,5.76,50000
2000010000,1,2,1,2.88,100.61,100000
2000010000,1,2,2,100.61,5.76,50000
2000011000,1,2,1,3.22,100.61,100000
2000011000,1,2,2,100.61,5.76,50000
2000012000,1,2,1,2.88,100.61,100000
2000012000,1,2,2,100.61,5.76,50000
2000013000,1,2,1,3.22,100.61,100000
2000013000,1,2,2,100.61,5.76,50000
2000014000,1,2,1,2.88,100.61,100000
2000014000,1,2,2,100.61,5.76,50000
2000015000,1,2,1,3.22,100.61,100000
2000015000,1,2,2,100.61,5.76,50000
2000016000,1,2,1,2.88,100.61,100000
2000016000,1,2,2,100.61,5.76,50000
2000017000,1,2,1,3.22,100.61,100000
2000017000,1,2,2,100.61,5.76,50000
2000018000,1,2,1,2.88,100.61,100000
2000018000,1,2,2,100.61,5.76,50000
2000019000,1,2,1,3.22,100.61,100000
2000019000,1,2,2,100.61,5.76,50000
2000020000,1,2,1,2.88,100.61,100000
2000020000,1,2,2,100.61,5.76,50000
2000021000,1,2,1,3.22,100.61,100000
2000021000,1,2,2,100.61,5.76,50000
2000022000,1,2,1,2.88,108.99,100000
2000022000,1,2,2,100.61,5.76,50000
2000023000,1,2,1,3.22,100.61,100000
2000023000,1,2,2,100.61,5.76,50000
2000024000,1,2,1,2.88,100.61,100000
2000024000,1,2,2,100.61,5.76,50000
