# Throughput Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,deltaTxBytes,deltaRxBytes,txThroughputMbps,rxThroughputMbps
2000003000,1,2,1,0,24288,0.00,64768.00
2000003000,1,2,2,12672,0,33792.00,0.00
2000006000,1,2,1,1020,38016,2720.00,101376.00
2000006000,1,2,2,19008,1020,50688.00,2720.00
2000009000,1,2,1,1080,38016,2880.00,101376.00
2000009000,1,2,2,19008,1080,50688.00,2880.00
2000012000,1,2,1,1080,36960,2880.00,98560.00
2000012000,1,2,2,17952,1080,47872.00,2880.00
2000015000,1,2,1,1020,38016,2720.00,101376.00
2000015000,1,2,2,19008,1020,50688.00,2720.00
2000018000,1,2,1,1080,38016,2880.00,101376.00
2000018000,1,2,2,19008,1080,50688.00,2880.00
2000021000,1,2,1,1080,38016,2880.00,101376.00
2000021000,1,2,2,19008,1080,50688.00,2880.00
2000024000,1,2,1,1080,36960,2880.00,98560.00
2000024000,1,2,2,19008,1080,50688.00,2880.00
2000027000,1,2,1,1080,38016,2880.00,101376.00
2000027000,1,2,2,19008,1080,50688.00,2880.00
2000030000,1,2,1,1080,38016,2880.00,101376.00
2000030000,1,2,2,19008,1080,50688.00,2880.00
2000033000,1,2,1,1080,36960,2880.00,98560.00
2000033000,1,2,2,17952,1080,47872.00,2880.00
2000036000,1,2,1,1020,38016,2720.00,101376.00
2000036000,1,2,2,19008,1020,50688.00,2720.00
2000039000,1,2,1,1080,38016,2880.00,101376.00
2000039000,1,2,2,19008,1080,50688.00,2880.00
2000042000,1,2,1,1080,38016,2880.00,101376.00
2000042000,1,2,2,19008,1080,50688.00,2880.00
2000045000,1,2,1,1080,36960,2880.00,98560.00
2000045000,1,2,2,19008,1080,50688.00,2880.00
2000048000,1,2,1,1080,38016,2880.00,101376.00
2000048000,1,2,2,19008,1080,50688.00,2880.00
2000051000,1,2,1,1080,38016,2880.00,101376.00
2000051000,1,2,2,19008,1080,50688.00,2880.00
2000054000,1,2,1,1080,36960,2880.00,98560.00
2000054000,1,2,2,17952,1080,47872.00,2880.00
2000057000,1,2,1,1020,38016,2720.00,101376.00
2000057000,1,2,2,19008,1020,50688.00,2720.00
2000060000,1,2,1,1080,38016,2880.00,101376.00
2000060000,1,2,2,19008,1080,50688.00,2880.00
2000063000,1,2,1,1080,38016,2880.00,101376.00
2000063000,1,2,2,19008,1080,50688.00,2880.00
2000066000,1,2,1,1080,36960,2880.00,98560.00
2000066000,1,2,2,19008,1080,50688.00,2880.00
2000069000,1,2,1,1080,38016,2880.00,101376.00
2000069000,1,2,2,19008,1080,50688.00,2880.00
2000072000,1,2,1,1080,38016,2880.00,101376.00
2000072000,1,2,2,19008,1080,50688.00,2880.00
2000075000,1,2,1,1080,36960,2880.00,98560.00
2000075000,1,2,2,17952,1080,47872.00,2880.00
2000078000,1,2,1,1020,38016,2720.00,101376.00
2000078000,1,2,2,19008,1020,50688.00,2720.00
2000081000,1,2,1,1080,38016,2880.00,101376.00
2000081000,1,2,2,19008,1080,50688.00,2880.00
2000084000,1,2,1,1080,38016,2880.00,101376.00
2000084000,1,2,2,19008,1080,50688.00,2880.00
2000087000,1,2,1,1080,36960,2880.00,98560.00
2000087000,1,2,2,19008,1080,50688.00,2880.00
2000090000,1,2,1,1596,38016,4256.00,101376.00
2000090000,1,2,2,19008,1080,50688.00,2880.00
2000093000,1,2,1,1725,15840,4600.00,42240.00
2000093000,1,2,2,19008,1080,50688.00,2880.00
2000096000,1,2,1,1123,8448,2994.67,22528.00
2000096000,1,2,2,17952,1080,47872.00,2880.00
2000099000,1,2,1,1923,36960,5128.00,98560.00
2000099000,1,2,2,19008,1020,50688.00,2720.00
2000102000,1,2,1,1381,6336,3682.67,16896.00
2000102000,1,2,2,19008,1080,50688.00,2880.00
2000105000,1,2,1,1080,17952,2880.00,47872.00
2000105000,1,2,2,19008,1080,50688.00,2880.00
2000108000,1,2,1,2241,33792,5976.00,90112.00
2000108000,1,2,2,19008,1080,50688.00,2880.00
2000111000,1,2,1,1123,0,2994.67,0.00
2000111000,1,2,2,19008,1080,50688.00,2880.00
2000114000,1,2,1,1252,27456,3338.67,73216.00
2000114000,1,2,2,19008,1080,50688.00,2880.00
2000117000,1,2,1,2069,24288,5517.33,64768.00
2000117000,1,2,2,17952,1080,47872.00,2880.00
2000120000,1,2,1,1063,0,2834.67,0.00
2000120000,1,2,2,19008,1020,50688.00,2720.00
2000123000,1,2,1,1639,36960,4370.67,98560.00
2000123000,1,2,2,19008,1080,50688.00,2880.00
2000126000,1,2,1,1682,14784,4485.33,39424.00
2000126000,1,2,2,19008,1080,50688.00,2880.00
2000129000,1,2,1,1123,8448,2994.67,22528.00
2000129000,1,2,2,19008,1080,50688.00,2880.00
2000132000,1,2,1,2026,38016,5402.67,101376.00
2000132000,1,2,2,19008,1080,50688.00,2880.00
2000135000,1,2,1,1338,5280,3568.00,14080.00
2000135000,1,2,2,19008,1080,50688.00,2880.00
2000138000,1,2,1,1080,1056,2880.00,2816.00
2000138000,1,2,2,17952,1080,47872.00,2880.00
2000141000,1,2,1,1020,0,2720.00,0.00
2000141000,1,2,2,19008,1020,50688.00,2720.00
2000144000,1,2,1,1080,0,2880.00,0.00
2000144000,1,2,2,19008,1080,50688.00,2880.00
2000147000,1,2,1,1080,0,2880.00,0.00
2000147000,1,2,2,19008,1080,50688.00,2880.00
2000150000,1,2,1,1080,0,2880.00,0.00
2000150000,1,2,2,19008,1080,50688.00,2880.00
2000153000,1,2,1,1080,0,2880.00,0.00
2000153000,1,2,2,19008,1080,50688.00,2880.00
2000156000,1,2,1,1080,0,2880.00,0.00
2000156000,1,2,2,19008,1080,50688.00,2880.00
2000159000,1,2,1,1080,0,2880.00,0.00
2000159000,1,2,2,17952,1080,47872.00,2880.00
