# Link Utilization Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,txUtilization%,rxUtilization%,linkBandwidthMbps
2000002000,1,6,1,0.00,100.61,100000
2000002000,1,6,6,100.61,0.00,100000
2000003000,1,6,1,0.00,100.61,100000
2000003000,1,6,6,100.61,0.00,100000
2000004000,1,6,1,5.28,100.61,100000
2000004000,1,6,6,100.61,5.28,100000
2000005000,1,6,1,5.76,100.61,100000
2000005000,1,6,6,100.61,5.76,100000
2000006000,1,6,1,5.76,100.61,100000
2000006000,1,6,6,100.61,5.76,100000
2000007000,1,6,1,5.76,100.61,100000
2000007000,1,6,6,100.61,5.76,100000
2000008000,1,6,1,5.76,100.61,100000
2000008000,1,6,6,100.61,5.76,100000
2000009000,1,6,1,5.76,100.61,100000
2000009000,1,6,6,100.61,5.76,100000
2000010000,1,6,1,5.76,100.61,100000
2000010000,1,6,6,100.61,5.76,100000
2000011000,1,6,1,5.76,100.61,100000
2000011000,1,6,6,100.61,5.76,100000
2000012000,1,6,1,5.76,100.61,100000
2000012000,1,6,2,0.00,100.61,100000
2000012000,1,6,3,0.00,100.61,100000
2000012000,1,6,4,0.00,100.61,100000
2000012000,1,6,5,0.00,100.61,100000
2000012000,1,6,6,100.61,5.76,100000
2000013000,1,6,1,5.76,100.61,100000
2000013000,1,6,2,0.00,100.61,100000
2000013000,1,6,3,0.00,100.61,100000
2000013000,1,6,4,0.00,100.61,100000
2000013000,1,6,5,0.00,100.61,100000
2000013000,1,6,6,100.61,5.76,100000
2000014000,1,6,1,1.92,100.61,100000
2000014000,1,6,2,0.96,100.61,100000
2000014000,1,6,3,0.96,100.61,100000
2000014000,1,6,4,0.96,100.61,100000
2000014000,1,6,5,0.96,100.61,100000
2000014000,1,6,6,100.61,5.76,100000
2000015000,1,6,1,0.96,100.61,100000
2000015000,1,6,2,1.44,100.61,100000
2000015000,1,6,3,1.44,100.61,100000
2000015000,1,6,4,0.96,100.61,100000
2000015000,1,6,5,0.96,100.61,100000
2000015000,1,6,6,100.61,5.76,100000
2000016000,1,6,1,0.96,100.61,100000
2000016000,1,6,2,0.96,100.61,100000
2000016000,1,6,3,0.96,100.61,100000
2000016000,1,6,4,1.44,100.61,100000
2000016000,1,6,5,1.44,100.61,100000
2000016000,1,6,6,100.61,5.76,100000
2000017000,1,6,1,1.44,100.61,100000
2000017000,1,6,2,1.44,100.61,100000
2000017000,1,6,3,0.96,100.61,100000
2000017000,1,6,4,0.96,100.61,100000
2000017000,1,6,5,0.96,100.61,100000
2000017000,1,6,6,100.61,5.76,100000
2000018000,1,6,1,0.96,100.61,100000
2000018000,1,6,2,0.96,100.61,100000
2000018000,1,6,3,1.44,100.61,100000
2000018000,1,6,4,1.44,100.61,100000
2000018000,1,6,5,0.96,100.61,100000
2000018000,1,6,6,100.61,5.76,100000
2000019000,1,6,1,1.44,100.61,100000
2000019000,1,6,2,0.96,100.61,100000
2000019000,1,6,3,0.96,100.61,100000
2000019000,1,6,4,0.96,100.61,100000
2000019000,1,6,5,1.44,100.61,100000
2000019000,1,6,6,100.61,5.76,100000
2000020000,1,6,1,0.96,100.61,100000
2000020000,1,6,2,1.44,100.61,100000
2000020000,1,6,3,1.44,100.61,100000
2000020000,1,6,4,0.96,100.61,100000
2000020000,1,6,5,0.96,100.61,100000
2000020000,1,6,6,100.61,5.76,100000
2000021000,1,6,1,0.96,100.61,100000
