# Throughput Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,deltaTxBytes,deltaRxBytes,txThroughputMbps,rxThroughputMbps
2000002000,1,6,1,0,12576,0.00,100608.00
2000002000,1,6,6,12576,0,100608.00,0.00
2000003000,1,6,1,0,12576,0.00,100608.00
2000003000,1,6,6,12576,0,100608.00,0.00
2000004000,1,6,1,660,12576,5280.00,100608.00
2000004000,1,6,6,12576,660,100608.00,5280.00
2000005000,1,6,1,720,12576,5760.00,100608.00
2000005000,1,6,6,12576,720,100608.00,5760.00
2000006000,1,6,1,720,12576,5760.00,100608.00
2000006000,1,6,6,12576,720,100608.00,5760.00
2000007000,1,6,1,720,12576,5760.00,100608.00
2000007000,1,6,6,12576,720,100608.00,5760.00
2000008000,1,6,1,720,12576,5760.00,100608.00
2000008000,1,6,6,12576,720,100608.00,5760.00
2000009000,1,6,1,720,12576,5760.00,100608.00
2000009000,1,6,6,12576,720,100608.00,5760.00
2000010000,1,6,1,720,12576,5760.00,100608.00
2000010000,1,6,6,12576,720,100608.00,5760.00
2000011000,1,6,1,720,12576,5760.00,100608.00
2000011000,1,6,6,12576,720,100608.00,5760.00
2000012000,1,6,1,720,12576,5760.00,100608.00
2000012000,1,6,2,0,12576,0.00,100608.00
2000012000,1,6,3,0,12576,0.00,100608.00
2000012000,1,6,4,0,12576,0.00,100608.00
2000012000,1,6,5,0,12576,0.00,100608.00
2000012000,1,6,6,12576,720,100608.00,5760.00
2000013000,1,6,1,720,12576,5760.00,100608.00
2000013000,1,6,2,0,12576,0.00,100608.00
2000013000,1,6,3,0,12576,0.00,100608.00
2000013000,1,6,4,0,12576,0.00,100608.00
2000013000,1,6,5,0,12576,0.00,100608.00
2000013000,1,6,6,12576,720,100608.00,5760.00
2000014000,1,6,1,240,12576,1920.00,100608.00
2000014000,1,6,2,120,12576,960.00,100608.00
2000014000,1,6,3,120,12576,960.00,100608.00
2000014000,1,6,4,120,12576,960.00,100608.00
2000014000,1,6,5,120,12576,960.00,100608.00
2000014000,1,6,6,12576,720,100608.00,5760.00
2000015000,1,6,1,120,12576,960.00,100608.00
2000015000,1,6,2,180,12576,1440.00,100608.00
2000015000,1,6,3,180,12576,1440.00,100608.00
2000015000,1,6,4,120,12576,960.00,100608.00
2000015000,1,6,5,120,12576,960.00,100608.00
2000015000,1,6,6,12576,720,100608.00,5760.00
2000016000,1,6,1,120,12576,960.00,100608.00
2000016000,1,6,2,120,12576,960.00,100608.00
2000016000,1,6,3,120,12576,960.00,100608.00
2000016000,1,6,4,180,12576,1440.00,100608.00
2000016000,1,6,5,180,12576,1440.00,100608.00
2000016000,1,6,6,12576,720,100608.00,5760.00
2000017000,1,6,1,180,12576,1440.00,100608.00
2000017000,1,6,2,180,12576,1440.00,100608.00
2000017000,1,6,3,120,12576,960.00,100608.00
2000017000,1,6,4,120,12576,960.00,100608.00
2000017000,1,6,5,120,12576,960.00,100608.00
2000017000,1,6,6,12576,720,100608.00,5760.00
2000018000,1,6,1,120,12576,960.00,100608.00
2000018000,1,6,2,120,12576,960.00,100608.00
2000018000,1,6,3,180,12576,1440.00,100608.00
2000018000,1,6,4,180,12576,1440.00,100608.00
2000018000,1,6,5,120,12576,960.00,100608.00
2000018000,1,6,6,12576,720,100608.00,5760.00
2000019000,1,6,1,180,12576,1440.00,100608.00
2000019000,1,6,2,120,12576,960.00,100608.00
2000019000,1,6,3,120,12576,960.00,100608.00
2000019000,1,6,4,120,12576,960.00,100608.00
2000019000,1,6,5,180,12576,1440.00,100608.00
2000019000,1,6,6,12576,720,100608.00,5760.00
2000020000,1,6,1,120,12576,960.00,100608.00
2000020000,1,6,2,180,12576,1440.00,100608.00
2000020000,1,6,3,180,12576,1440.00,100608.00
2000020000,1,6,4,120,12576,960.00,100608.00
2000020000,1,6,5,120,12576,960.00,100608.00
2000020000,1,6,6,12576,720,100608.00,5760.00
2000021000,1,6,1,120,12576,960.00,100608.00
2000021000,1,6,2,120,12576,960.00,100608.00
2000021000,1,6,3,120,12576,960.00,100608.00
2000021000,1,6,4,180,12576,1440.00,100608.00
2000021000,1,6,5,180,12576,1440.00,100608.00
2000021000,1,6,6,12576,720,100608.00,5760.00
2000022000,1,6,1,180,13624,1440.00,108992.00
2000022000,1,6,2,180,12576,1440.00,100608.00
2000022000,1,6,3,120,12576,960.00,100608.00
2000022000,1,6,4,120,12576,960.00,100608.00
2000022000,1,6,5,120,12576,960.00,100608.00
2000022000,1,6,6,13624,720,108992.00,5760.00
2000023000,1,6,1,120,12576,960.00,100608.00
2000023000,1,6,2,120,12576,960.00,100608.00
2000023000,1,6,3,180,12576,1440.00,100608.00
2000023000,1,6,4,180,12576,1440.00,100608.00
2000023000,1,6,5,120,12576,960.00,100608.00
2000023000,1,6,6,12576,720,100608.00,5760.00
2000024000,1,6,1,180,12576,1440.00,100608.00
2000024000,1,6,2,120,12576,960.00,100608.00
2000024000,1,6,3,120,12576,960.00,100608.00
2000024000,1,6,4,120,12576,960.00,100608.00
2000024000,1,6,5,180,12576,1440.00,100608.00
2000024000,1,6,6,12576,720,100608.00,5760.00
2000025000,1,6,1,120,12576,960.00,100608.00
2000025000,1,6,2,180,12576,1440.00,100608.00
2000025000,1,6,3,180,12576,1440.00,100608.00
2000025000,1,6,4,180,12576,1440.00,100608.00
2000025000,1,6,5,120,12576,960.00,100608.00
2000025000,1,6,6,12576,780,100608.00,6240.00
2000026000,1,6,1,180,12576,1440.00,100608.00
2000026000,1,6,2,120,10480,960.00,83840.00
2000026000,1,6,3,120,10480,960.00,83840.00
2000026000,1,6,4,120,12576,960.00,100608.00
2000026000,1,6,5,180,12576,1440.00,100608.00
2000026000,1,6,6,12576,720,100608.00,5760.00
2000027000,1,6,1,120,12576,960.00,100608.00
2000027000,1,6,2,180,2096,1440.00,16768.00
2000027000,1,6,3,180,2096,1440.00,16768.00
2000027000,1,6,4,120,0,960.00,0.00
2000027000,1,6,5,120,0,960.00,0.00
2000027000,1,6,6,12576,720,100608.00,5760.00
2000028000,1,6,1,120,9432,960.00,75456.00
2000028000,1,6,2,120,0,960.00,0.00
2000028000,1,6,3,120,0,960.00,0.00
2000028000,1,6,4,180,0,1440.00,0.00
2000028000,1,6,5,180,0,1440.00,0.00
2000028000,1,6,6,12576,720,100608.00,5760.00
2000029000,1,6,1,180,6288,1440.00,50304.00
2000029000,1,6,2,180,0,1440.00,0.00
2000029000,1,6,3,120,0,960.00,0.00
2000029000,1,6,4,120,0,960.00,0.00
2000029000,1,6,5,120,0,960.00,0.00
2000029000,1,6,6,12576,720,100608.00,5760.00
2000030000,1,6,1,120,6288,960.00,50304.00
2000030000,1,6,2,120,0,960.00,0.00
2000030000,1,6,3,180,0,1440.00,0.00
2000030000,1,6,4,180,0,1440.00,0.00
2000030000,1,6,5,120,0,960.00,0.00
2000030000,1,6,6,12576,720,100608.00,5760.00
2000031000,1,6,1,180,6288,1440.00,50304.00
2000031000,1,6,2,120,0,960.00,0.00
2000031000,1,6,3,120,0,960.00,0.00
2000031000,1,6,4,120,0,960.00,0.00
2000031000,1,6,5,180,0,1440.00,0.00
2000031000,1,6,6,12576,720,100608.00,5760.00
