# Link Utilization Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,txUtilization%,rxUtilization%,linkBandwidthMbps
10000,1,22,2,0.00,69.70,40000
10000,1,22,3,0.00,69.70,40000
10000,1,22,4,0.00,69.70,40000
10000,1,22,5,0.00,69.70,40000
10000,1,22,6,69.70,0.00,40000
10000,1,24,1,4.22,0.00,40000
10000,1,24,17,0.00,4.22,40000
10000,1,25,1,0.00,35.90,40000
10000,1,25,3,35.90,0.00,40000
20000,1,22,2,0.00,99.26,40000
20000,1,22,3,0.00,99.26,40000
20000,1,22,4,0.00,99.26,40000
20000,1,22,5,0.00,99.26,40000
20000,1,22,6,99.26,0.00,40000
20000,1,24,1,101.38,2.40,40000
20000,1,24,17,1.20,101.38,40000
20000,1,24,18,1.20,0.00,40000
20000,1,25,1,0.36,101.38,40000
20000,1,25,3,101.38,0.36,40000
20000,1,26,1,0.36,0.00,40000
20000,1,26,3,0.00,0.36,40000
30000,1,22,2,1.20,99.26,40000
30000,1,22,3,1.20,99.26,40000
30000,1,22,4,1.20,99.26,40000
30000,1,22,5,1.08,99.26,40000
30000,1,22,6,99.26,2.40,40000
30000,1,22,7,0.00,2.28,40000
30000,1,24,1,99.26,5.76,40000
30000,1,24,17,2.88,99.26,40000
30000,1,24,18,2.88,0.00,40000
30000,1,25,1,2.88,99.26,40000
30000,1,25,3,99.26,2.88,40000
30000,1,26,1,2.76,0.00,40000
30000,1,26,3,0.00,2.76,40000
40000,1,22,2,1.44,101.38,40000
40000,1,22,3,1.44,101.38,40000
40000,1,22,4,1.32,101.38,40000
40000,1,22,5,1.44,101.38,40000
40000,1,22,6,101.38,2.76,40000
40000,1,22,7,0.00,2.88,40000
40000,1,24,1,99.26,5.64,40000
40000,1,24,17,2.88,99.26,40000
40000,1,24,18,2.76,0.00,40000
40000,1,25,1,2.88,101.38,40000
40000,1,25,3,101.38,2.88,40000
40000,1,26,1,2.88,0.00,40000
40000,1,26,3,0.00,2.88,40000
50000,1,22,2,1.44,99.26,40000
50000,1,22,3,1.44,99.26,40000
50000,1,22,4,1.44,99.26,40000
50000,1,22,5,1.44,99.26,40000
50000,1,22,6,99.26,2.88,40000
50000,1,22,7,0.00,2.88,40000
50000,1,24,1,101.38,5.64,40000
50000,1,24,17,2.76,101.38,40000
50000,1,24,18,2.88,0.00,40000
50000,1,25,1,2.76,99.26,40000
50000,1,25,3,99.26,2.76,40000
50000,1,26,1,2.88,0.00,40000
50000,1,26,3,0.00,2.88,40000
60000,1,22,2,1.44,101.38,40000
60000,1,22,3,1.32,101.38,40000
60000,1,22,4,1.44,101.38,40000
60000,1,22,5,1.44,101.38,40000
60000,1,22,6,101.38,2.88,40000
60000,1,22,7,0.00,2.76,40000
60000,1,24,1,99.26,5.76,40000
60000,1,24,17,2.88,99.26,40000
60000,1,24,18,2.88,0.00,40000
60000,1,25,1,2.88,99.26,40000
60000,1,25,3,99.26,2.88,40000
60000,1,26,1,2.76,0.00,40000
60000,1,26,3,0.00,2.76,40000
70000,1,22,2,1.44,99.26,40000
70000,1,22,3,1.44,99.26,40000
70000,1,22,4,1.44,99.26,40000
70000,1,22,5,1.44,99.26,40000
